,full_text
73,"['sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
74,"['selama', 'debat', 'nya', 'anies', 'memperkenalkan', 'programprogram', 'solusidari', 'masalah', 'ada', 'dalam', 'penididikan', 'transportasi', 'lingkungan']"
75,"['seinget', 'ku', '212', 'yang', 'datang', 'makruf', 'amin', 'sama', 'jokowi', 'anies', 'ga', 'datang', 'acara', '212', 'monas']"
78,"['anies', 'mendominasi', 'debat', 'pertama', 'retorika', 'baik', 'menilai', 'anies', 'punya', 'keleluasaan', 'menyerang', 'gagasan', 'kandidat', 'karena', 'mengusung', 'visi', 'perubahan']"
79,"['sama', 'sama2', 'mantan', 'napi', 'korupsi', 'jadi', 'timses', 'resmi', 'nasional', 'anies', 'ga', 'sih']"
80,"['selama', 'debat', 'berlangsung', 'anies', 'menunjukkan', 'gambaran', 'diri', 'seorang', 'terpelajar']"
81,"['haiii', 'bestie', 'disaat', 'debat', 'perdana', 'caprescawapres', 'kemaren', 'malam', 'menyisakan', 'momen', 'dramatis', 'sang', 'pangeran', 'lupa', 'kalau', 'lagi', 'berada', 'area', 'mimbar', 'debat', 'bukan', 'pertandingan', 'bola', 'sang', 'pangeran', 'ngosngosan', 'awokawokawok', 'gacoan', 'anies', 'semalem', 'ordal']"
82,"['anies', 'si', 'dablek', 'habiskan', 'uang', 'negara', '80', 'triliun', 'tak', 'atasi', 'polusi', 'jungkook', 'is', 'coming', 'olivia', 'gacoan', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', '100m', 'views']"
83,"['ayo', 'bli', 'ketut', 'maen2', 'lah', 'jakarta', 'biar', 'merasakan', 'kemajuan', 'jakarta', 'sejak', 'dipimpin', 'anies']"
84,"['selama', 'debat', 'anies', 'tampil', 'tenang', 'menjelaskan', 'segala', 'pertanyaan', 'atas', 'permasalahan', 'dibahas', 'debat']"
85,"['dikasih', 'fakta', 'nih']"
86,"['iya', 'saya', 'jdi', 'malu', 'cari', 'presiden', 'lo', 'bukan', 'ketua', 'rt']"
87,"['debatnya', 'anies', 'hendak', 'memanfaatkan', 'tren', 'populer', 'sosial', 'media', 'menyebarluaskan', 'kritik', 'terutama', 'kritik', 'kemerdekaan', 'berpendapat']"
88,"['pak', 'anies', 'berjanji', 'warga', 'jakarta', 'u', 'menjalankan', 'amanah', 'smpai', 'tuntas', 'memimpin', 'ibu', 'kota', 'jakarta', 'apakh', 'salah', 'bang', 'kl', 'skrg', 'pak', 'anies', 'berniat', 'membawa', 'perubahan', 'apakh', 'juga', 'salah', 'tdk', 'beretika', 'bangrekam', 'jejak', 'sdh', 'terbukti', 'beliau', 'menuntaskan', 'amanah', 'memimpin', 'jkt']"
89,"['anies', 'seorang', 'pemimpin', 'memiliki', 'semangat', 'luar', 'biasa', 'terkenal', 'solusinya', 'menghadapi', 'berbagai', 'tantangan']"
90,"['anies', 'memiliki', 'kemampuan', 'eksekusi', 'implementasi', 'kebijakan', 'dilakukan', 'sungguhsungguh', 'mencapai', 'hasil', 'diharapkan']"
91,"['anies', 'contoh', 'nyata', 'seorang', 'pemimpin', 'memiliki', 'semangat', 'tak', 'tergoyahkan']"
92,"['analisa', 'mu', 'kalau', 'jujur', 'bkn', 'sebenarnya', 'sebenarnya', 'pintar', 'menganalisa', 'tp', 'si', 'buah', 'hati', 'menjadi', 'sesuai', 'hati', 'nuranisebenarnya', 'pa', 'wowo', 'sdh', 'emosi', 'tp', 'menahan', 'emosi', 'nya', 'diucapkan', 'lah', 'mas', 'aniesmas', 'anies']"
93,"['menilai', 'anies', 'berhasil', 'menjelaskan', 'permasalahan', 'muncul', 'dalam', 'debat', 'konkret']"
94,"['rekomendasi', 'buku', 'anak', 'anak', 'usia', '17', 'tahun', 'buku', 'full', 'gambarwarna', 'buat', 'koleksi', 'tag', 'besok', 'senin', 'selasa', 'rabu', 'kamis', 'jumatberkah', 'sabtu', 'malam', 'mingguan', 'malmingan', 'pagiii', 'sarapan', 'makan', 'siang', 'gacoan', 'anies', 'surabaya', 'gempa', 'olivia', 'hari', 'ibu', 'dana', 'ginting', 'desember']"
95,"['anies', 'sosok', 'memiliki', 'tekad', 'luar', 'biasa', 'menghadapi', 'rintangan', 'menghadangnya']"
96,"['anies', 'selalu', 'menunjukkan', 'keteguhan', 'tekad', 'luar', 'biasa', 'mencari', 'solusi', 'mewujudkan', 'visi', 'misinya', 'memajukan', 'daerah']"
97,"['pakar', 'komunikasi', 'politik', 'universitas', 'brawijaya', 'verdi', 'firmantoro', 'menilai', 'anies', 'capres', 'runut', 'menyampaikan', 'materi', 'debat']"
98,"['dengankomitmennya', 'perbaikan', 'pembangunan', 'anies', 'menciptakan', 'landasan', 'masa', 'depan', 'lebih', 'baik']"
99,"['takut', 'banget', 'da', 'anies', 'jadi', 'presiden', 'yang', 'berdarah', 'sumbar', 'malu', 'sama', 'kengototan', 'membela']"
100,"['waktu', 'uas', 'sadar', 'kita', 'pilih', 'sandal', 'jepit', 'bakiak', 'sama', 'buruknya', 'harus', 'tetap', 'memilih', 'sekarang', 'anies', 'lebih', 'punya', 'ide', 'gagasan', 'sandal', 'jepit', 'dititidaklkan']"
